Id,Source,Target,Type
1,0,2,directed
2,0,6,directed
3,0,14,directed
4,0,15,directed
5,0,26,directed
6,0,27,directed
7,1,2,directed
8,1,3,directed
9,1,21,directed
10,2,10,directed
11,2,15,directed
12,2,16,directed
13,3,4,directed
14,3,5,directed
15,3,12,directed
16,3,17,directed
17,4,6,directed
18,4,12,directed
19,5,6,directed
20,5,13,directed
21,5,25,directed
22,6,17,directed
23,6,29,directed
24,7,8,directed
25,7,11,directed
26,7,18,directed
27,7,23,directed
28,8,10,directed
29,8,19,directed
30,9,10,directed
31,9,16,directed
32,10,14,directed
33,10,27,directed
34,11,13,directed
35,11,22,directed
36,11,25,directed
37,12,13,directed
38,12,19,directed
39,12,24,directed
40,12,29,directed
41,13,14,directed
42,14,20,directed
43,14,22,directed
44,15,17,directed
45,16,17,directed
46,16,19,directed
47,17,27,directed
48,18,19,directed
49,18,20,directed
50,20,23,directed
51,20,29,directed
52,21,22,directed
53,22,27,directed
54,23,25,directed
55,24,25,directed
56,25,26,directed
57,26,27,directed
58,27,28,directed
59,27,29,directed
60,28,29,directed
