Id,Source,Target,Type
1,0,5,directed
2,0,6,directed
3,0,12,directed
4,1,2,directed
5,1,8,directed
6,1,11,directed
7,2,7,directed
8,2,8,directed
9,3,4,directed
10,3,10,directed
11,3,12,directed
12,4,9,directed
13,4,12,directed
14,4,14,directed
15,5,10,directed
16,5,13,directed
17,6,7,directed
18,6,8,directed
19,6,13,directed
20,6,14,directed
21,7,9,directed
22,7,12,directed
23,8,9,directed
24,8,11,directed
25,9,11,directed
26,10,13,directed
27,10,14,directed
28,11,13,directed
29,12,13,directed
30,12,14,directed
